J,Connector,Type,Connector_Pin,Signal,Pi_BCM,Pi_Physical_Pin,LCSC_PN,Mfr,Mfr_PN,Part_Notes,Notes
J1,LED1,JST-GH 2-pin,1,LED1_SIG (via current-limit resistor),BCM16,36.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Drive as GPIO output; LED plugs here; polarity handled by LED wiring.
J1,LED1,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J2,LED2,JST-GH 2-pin,1,LED2_SIG (via current-limit resistor),BCM17,11.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Drive as GPIO output; LED plugs here; polarity handled by LED wiring.
J2,LED2,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J3,LED3,JST-GH 2-pin,1,LED3_SIG (via current-limit resistor),BCM27,13.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Drive as GPIO output; LED plugs here; polarity handled by LED wiring.
J3,LED3,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J4,LED4,JST-GH 2-pin,1,LED4_SIG (via current-limit resistor),BCM22,15.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Drive as GPIO output; LED plugs here; polarity handled by LED wiring.
J4,LED4,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J5,BTN1,JST-GH 2-pin,1,BTN1_IN,BCM23,16.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Configure internal pull-up; pressed = GND.
J5,BTN1,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J6,BTN2,JST-GH 2-pin,1,BTN2_IN,BCM24,18.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Configure internal pull-up; pressed = GND.
J6,BTN2,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J7,ADC0,JST-GH 2-pin,1,ADS1115_AIN0,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Connect to ADS1115 AINx; keep analog routing quiet; RC filter per channel.
J7,ADC0,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J8,ADC1,JST-GH 2-pin,1,ADS1115_AIN1,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Connect to ADS1115 AINx; keep analog routing quiet; RC filter per channel.
J8,ADC1,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J9,ADC2,JST-GH 2-pin,1,ADS1115_AIN2,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Connect to ADS1115 AINx; keep analog routing quiet; RC filter per channel.
J9,ADC2,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J10,ADC3,JST-GH 2-pin,1,ADS1115_AIN3,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Connect to ADS1115 AINx; keep analog routing quiet; RC filter per channel.
J10,ADC3,JST-GH 2-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J11,GPIO_BANK,JST-GH 4-pin,1,GPIO1,BCM18,12.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",No GND on this connector; use GND from any other port. V2: Restored to 4 pins using BCM18 to replace BCM5.
J11,GPIO_BANK,JST-GH 4-pin,2,GPIO2,BCM6,31.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",No GND on this connector; use GND from any other port.
J11,GPIO_BANK,JST-GH 4-pin,3,GPIO3,BCM12,32.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",No GND on this connector; use GND from any other port.
J11,GPIO_BANK,JST-GH 4-pin,4,GPIO4,BCM13,33.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",No GND on this connector; use GND from any other port.
J12,I2C_PORT_A,JST-GH 4-pin,1,SENS_3V3_SW,,1.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Switched sensor rail. Default state selectable (jumper) + software control.
J12,I2C_PORT_A,JST-GH 4-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J12,I2C_PORT_A,JST-GH 4-pin,3,SDA (I2C1),BCM2,3.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J12,I2C_PORT_A,JST-GH 4-pin,4,SCL (I2C1),BCM3,5.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J13,I2C_PORT_B,JST-GH 4-pin,1,SENS_3V3_SW,,1.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Switched sensor rail. Default state selectable (jumper) + software control.
J13,I2C_PORT_B,JST-GH 4-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
